Distribuicao de chegada,Parametros,Valor medio servico,Duracao da simulacao,Quantidade de Requisicoes recebidas,Quantidade de Requisicoes atendidas,Tempo medio de atendimento,Quantidade media de elementos em espera
exponencial,1.0 ,1.0,10,5,5,0.7869554010331942,0.0
exponencial,1.0 ,1.0,10,6,5,2.022289648083457,0.08333333333333333
exponencial,1.0 ,1.0,10,9,8,0.6989426305360147,0.08333333333333333
exponencial,1.0 ,1.0,10,2,2,1.9164108391462955,0.0
exponencial,1.0 ,1.0,10,8,3,3.656552851647905,0.4166666666666667
exponencial,1.0 ,1.0,10,5,5,1.5491780532567148,0.0
exponencial,1.0 ,1.0,10,7,7,0.9143242161102024,0.0
exponencial,1.0 ,1.0,10,5,5,1.3546027027922947,0.0
exponencial,1.0 ,1.0,10,5,5,1.1823962304184599,0.0
exponencial,1.0 ,1.0,10,6,6,1.2887886432756397,0.0
exponencial,1.0 ,1.0,10,7,7,0.6597482835381242,0.0
exponencial,1.0 ,1.0,10,7,5,2.3302160077159075,0.16666666666666666
exponencial,1.0 ,1.0,10,5,5,1.4558986349847751,0.0
exponencial,1.0 ,1.0,10,8,8,0.1516578378692202,0.0
exponencial,1.0 ,1.0,10,7,6,0.9531605682642343,0.08333333333333333
exponencial,1.0 ,1.0,10,6,6,1.3102417045980486,0.0
exponencial,1.0 ,1.0,10,3,3,0.724555692635243,0.0
exponencial,1.0 ,1.0,10,9,6,1.1836491769915671,0.25
exponencial,1.0 ,1.0,10,6,6,0.20213796167515766,0.0
exponencial,1.0 ,1.0,10,6,5,3.263639875307276,0.08333333333333333
exponencial,1.0 ,1.0,10,7,6,0.8324389269183113,0.08333333333333333
exponencial,1.0 ,1.0,10,9,7,1.0441630397068402,0.16666666666666666
exponencial,1.0 ,1.0,10,7,5,1.6862688952939948,0.16666666666666666
exponencial,1.0 ,1.0,10,5,5,1.7958287342451147,0.0
exponencial,1.0 ,1.0,10,8,8,0.6204477942439295,0.0
exponencial,1.0 ,1.0,10,6,6,1.2910980210507244,0.0
exponencial,1.0 ,1.0,10,7,6,2.303065531684742,0.08333333333333333
exponencial,1.0 ,1.0,10,7,6,1.9947370932452122,0.08333333333333333
exponencial,1.0 ,1.0,10,6,6,1.6953610507467456,0.0
exponencial,1.0 ,1.0,10,7,2,3.8479975424891775,0.4166666666666667
