Distribuicao de chegada,Parametros,Valor medio servico,Duracao da simulacao,Quantidade de Requisicoes recebidas,Quantidade de Requisicoes atendidas,Tempo medio de atendimento,Quantidade media de elementos em espera
exponencial,1.0 ,1.0,10,5,5,0.7869554010331942,0.0
exponencial,1.0 ,1.0,10,6,5,2.022289648083457,0.08333333333333333
exponencial,1.0 ,1.0,10,9,8,0.6989426305360147,0.08333333333333333
exponencial,1.0 ,1.0,10,2,2,1.9164108391462955,0.0
exponencial,1.0 ,1.0,10,8,3,3.656552851647905,0.4166666666666667
exponencial,1.0 ,1.0,10,5,5,1.5491780532567148,0.0
exponencial,1.0 ,1.0,10,7,7,0.9143242161102024,0.0
exponencial,1.0 ,1.0,10,5,5,1.3546027027922947,0.0
exponencial,1.0 ,1.0,10,5,5,1.1823962304184599,0.0
exponencial,1.0 ,1.0,10,6,6,1.2887886432756397,0.0
exponencial,1.0 ,1.0,10,7,7,0.6597482835381242,0.0
exponencial,1.0 ,1.0,10,7,5,2.3302160077159075,0.16666666666666666
exponencial,1.0 ,1.0,10,5,5,1.4558986349847751,0.0
exponencial,1.0 ,1.0,10,8,8,0.1516578378692202,0.0
exponencial,1.0 ,1.0,10,7,6,0.9531605682642343,0.08333333333333333
exponencial,1.0 ,1.0,10,6,6,1.3102417045980486,0.0
exponencial,1.0 ,1.0,10,3,3,0.724555692635243,0.0
exponencial,1.0 ,1.0,10,9,6,1.1836491769915671,0.25
exponencial,1.0 ,1.0,10,6,6,0.20213796167515766,0.0
exponencial,1.0 ,1.0,10,6,5,3.263639875307276,0.08333333333333333
exponencial,1.0 ,1.0,10,7,6,0.8324389269183113,0.08333333333333333
exponencial,1.0 ,1.0,10,9,7,1.0441630397068402,0.16666666666666666
exponencial,1.0 ,1.0,10,7,5,1.6862688952939948,0.16666666666666666
exponencial,1.0 ,1.0,10,5,5,1.7958287342451147,0.0
exponencial,1.0 ,1.0,10,8,8,0.6204477942439295,0.0
exponencial,1.0 ,1.0,10,6,6,1.2910980210507244,0.0
exponencial,1.0 ,1.0,10,7,6,2.303065531684742,0.08333333333333333
exponencial,1.0 ,1.0,10,7,6,1.9947370932452122,0.08333333333333333
exponencial,1.0 ,1.0,10,6,6,1.6953610507467456,0.0
exponencial,1.0 ,1.0,10,7,2,3.8479975424891775,0.4166666666666667
normal,0.5 0.7 ,1.0,10,7,6,0.7080745220217728,0.08333333333333333
normal,0.5 0.7 ,1.0,10,8,7,0.6277020243295729,0.08333333333333333
normal,0.5 0.7 ,1.0,10,8,8,1.157183635789028,0.0
normal,0.5 0.7 ,1.0,10,8,8,0.526612667504927,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.04804032990819719,0.0
normal,0.5 0.7 ,1.0,10,8,7,0.7940631593391906,0.08333333333333333
normal,0.5 0.7 ,1.0,10,8,8,0.37295877723570203,0.0
normal,0.5 0.7 ,1.0,10,7,6,1.075058283158858,0.08333333333333333
normal,0.5 0.7 ,1.0,10,9,9,0.48652595639699825,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.18125395508365763,0.0
normal,0.5 0.7 ,1.0,10,9,9,0.851402164620509,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.23753868680972642,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.3994039958378517,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.9675787915296136,0.0
normal,0.5 0.7 ,1.0,10,7,7,1.201630399015752,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.7198334196899984,0.0
normal,0.5 0.7 ,1.0,10,6,6,0.5948379158360383,0.0
normal,0.5 0.7 ,1.0,10,8,8,0.56537996161562,0.0
normal,0.5 0.7 ,1.0,10,8,8,0.048448349905940435,0.0
normal,0.5 0.7 ,1.0,10,8,8,0.4595501531253953,0.0
normal,0.5 0.7 ,1.0,10,8,8,0.6571913998662355,0.0
normal,0.5 0.7 ,1.0,10,8,7,0.7688577884106371,0.08333333333333333
normal,0.5 0.7 ,1.0,10,9,8,0.07688471967063232,0.08333333333333333
normal,0.5 0.7 ,1.0,10,5,5,1.2858562110224434,0.0
normal,0.5 0.7 ,1.0,10,10,10,0.3919285121970952,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.9112014112848845,0.0
normal,0.5 0.7 ,1.0,10,6,6,1.0740867160796352,0.0
normal,0.5 0.7 ,1.0,10,9,9,0.7197507837115072,0.0
normal,0.5 0.7 ,1.0,10,5,5,1.3692236300539429,0.0
normal,0.5 0.7 ,1.0,10,7,6,0.4974340394545436,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,7,6,1.312562300276662,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,7,7,1.48721418700779,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.2570459612556073,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.4835646573277022,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.7872092414293335,0.0
uniforme,0.0 2.0 ,1.0,10,6,5,1.2599324390598212,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,7,7,1.1881544731719804,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.5204833698012632,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.2529007092132038,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.2191326756596437,0.0
uniforme,0.0 2.0 ,1.0,10,7,7,1.2607948119793053,0.0
uniforme,0.0 2.0 ,1.0,10,7,7,1.3514982606568202,0.0
uniforme,0.0 2.0 ,1.0,10,6,5,1.7286854090265493,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,7,6,1.266781161393938,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,6,6,1.21011713217723,0.0
uniforme,0.0 2.0 ,1.0,10,7,7,0.7772765173563057,0.0
uniforme,0.0 2.0 ,1.0,10,7,6,0.6254763639324764,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,7,6,1.3390127942496395,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,6,6,0.5622164752004388,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,0.9594858669915053,0.0
uniforme,0.0 2.0 ,1.0,10,7,6,1.3365723467337547,0.08333333333333333
uniforme,0.0 2.0 ,1.0,10,5,5,1.3204481734524904,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.8901477734748664,0.0
uniforme,0.0 2.0 ,1.0,10,7,7,1.484003000978781,0.0
uniforme,0.0 2.0 ,1.0,10,5,5,2.2145952369068773,0.0
uniforme,0.0 2.0 ,1.0,10,7,7,1.17643821868595,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.2272341912394378,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,0.5757641661372482,0.0
uniforme,0.0 2.0 ,1.0,10,6,6,1.247562504932486,0.0
uniforme,0.0 2.0 ,1.0,10,5,5,0.9699108002628869,0.0
