Distribuicao de chegada,Parametros,Valor medio servico,Duracao da simulacao,Quantidade de Requisicoes recebidas,Quantidade de Requisicoes atendidas,Tempo medio de atendimento,Quantidade media de elementos em espera
normal,0.5 0.7 ,1.0,10,7,6,0.7080745220217728,0.08333333333333333
normal,0.5 0.7 ,1.0,10,8,7,0.6277020243295729,0.08333333333333333
normal,0.5 0.7 ,1.0,10,8,8,1.157183635789028,0.0
normal,0.5 0.7 ,1.0,10,8,8,0.526612667504927,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.04804032990819719,0.0
normal,0.5 0.7 ,1.0,10,8,7,0.7940631593391906,0.08333333333333333
normal,0.5 0.7 ,1.0,10,8,8,0.37295877723570203,0.0
normal,0.5 0.7 ,1.0,10,7,6,1.075058283158858,0.08333333333333333
normal,0.5 0.7 ,1.0,10,9,9,0.48652595639699825,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.18125395508365763,0.0
normal,0.5 0.7 ,1.0,10,9,9,0.851402164620509,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.23753868680972642,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.3994039958378517,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.9675787915296136,0.0
normal,0.5 0.7 ,1.0,10,7,7,1.201630399015752,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.7198334196899984,0.0
normal,0.5 0.7 ,1.0,10,6,6,0.5948379158360383,0.0
normal,0.5 0.7 ,1.0,10,8,8,0.56537996161562,0.0
normal,0.5 0.7 ,1.0,10,8,8,0.048448349905940435,0.0
normal,0.5 0.7 ,1.0,10,8,8,0.4595501531253953,0.0
normal,0.5 0.7 ,1.0,10,8,8,0.6571913998662355,0.0
normal,0.5 0.7 ,1.0,10,8,7,0.7688577884106371,0.08333333333333333
normal,0.5 0.7 ,1.0,10,9,8,0.07688471967063232,0.08333333333333333
normal,0.5 0.7 ,1.0,10,5,5,1.2858562110224434,0.0
normal,0.5 0.7 ,1.0,10,10,10,0.3919285121970952,0.0
normal,0.5 0.7 ,1.0,10,7,7,0.9112014112848845,0.0
normal,0.5 0.7 ,1.0,10,6,6,1.0740867160796352,0.0
normal,0.5 0.7 ,1.0,10,9,9,0.7197507837115072,0.0
normal,0.5 0.7 ,1.0,10,5,5,1.3692236300539429,0.0
normal,0.5 0.7 ,1.0,10,7,6,0.4974340394545436,0.08333333333333333
